id_persona|empresa|cargo|area|trabajo_hora_sem|fecha_desde|fecha_hasta
53291|Colegio Estrella de Belen, Tandil|Docente Programa Forte|Matemática|Hasta 10 horas|2022-02-10|2022-03-30
53291|Colegio Estrella de Belén, Tandil|Docente Programa Forte|Matemática|Hasta 10 horas|2021-10-01|2021-12-23
53291|Colegio Estrella de Belén, Tandil|Docente Programa Forte|Matemática|Hasta 10 horas|2022-06-01|2022-07-16
53291|Colegio Sagrada Familia, Tandil|Docente|Matemática|Más de 10 y hasta 20 horas|2020-03-01|2020-07-16
53291|Colegio Sagrada Familia, Tandil|Docente|Matemática|Más de 10 y hasta 20 horas|2021-03-01|2021-03-31
53291|Colegio Sagrada Familia, Tandil|Docente|Matemática|Más de 10 y hasta 20 horas|2021-08-01|2021-08-30
53291|EESM N10|Docente|Matemática|Hasta 10 horas|2018-09-01|2018-09-30
53291|EES N13 (De la Canal)|Docente|Matemática|Hasta 10 horas|2019-03-01|2020-03-15
53291|EESTM N5|Docente|Matemática|Hasta 10 horas|2018-08-01|2018-09-30
53291|EP 1ro de Octubre|Docente Plan Fines|Matemática|Hasta 10 horas|2019-03-01|2019-07-16
53291|EP N59|Docente Plan Fines|Matemática|Hasta 10 horas|2019-03-01|2019-07-16
53296|Temperies|Desarrollador De Software|It|35 o más horas|2021-12-01|
53426|Geneos|Asociada|Desarrollo De Software|Más de 20 y hasta 35 horas|2022-10-01|
53591|We Plan|Consultor Bi Junior|Analista De Datos|35 o más horas|2024-01-25|
53591|We Plan|Desarrollador Etl Trainee|Backend|Hasta 10 horas|2023-02-22|2024-01-24
53633|Sistemas Globales SA|Mobile Developer|Ui Studio|35 o más horas|2022-05-11|2023-02-28
53677|Banco Galicia|Desarrollador Sr|Mobile|35 o más horas|2023-08-01|
53775|Lamansys|Junior|It Desarrollo De Software|35 o más horas|2022-12-01|
53984|Cognition|Desarrollador Python Back-End|Software|35 o más horas|2023-07-01|2023-12-31
54105|Exeo it|Desarrollador De Software|Tecnologia|35 o más horas|2022-11-16|
54219|Lamansys|Developer|Desarrollo|Más de 20 y hasta 35 horas|2021-11-18|
54874|CONICET|Desarrolladora De Software|Gerencia De Organización Y Sistemas|35 o más horas|2022-05-01|
54874|Loger SRL|Desarrolladora De Software|Sistemas|35 o más horas|2021-05-17|2022-04-30
54874|Municipalidad de Lobería|Pasante En Desarrollo De Software|Sistemas|Más de 20 y hasta 35 horas|2022-01-03|2022-03-31
55370|Municipalidad de Tres Arroyos|Administrativo|Sistemas|35 o más horas|2023-03-21|2024-12-31
55501|BIND Banco Industrial|Pasantia Dos Meses|Atención Al Cliente|Más de 10 y hasta 20 horas|2023-01-02|2023-02-28
57478|CONICET|Investigadora Independiente|Ciencias De La Tierra, Del Agua Y De La Atmósfera|35 o más horas|1999-06-07|
67534|FUERZA AEREA ARGENTINA|Encargado De Deposito De Intendencia, Y Auxiliar De Recep. Y Exped.|Apoyo Logistico|35 o más horas|2022-02-21|
67914|unicen|Profesional Especializado De Apoyo, Supervisión Y Control Técnico En La Dirección De Recursos Humanos De La Universidad Nacional Del Centro De La Pcia. De Buenos Aires|Recursos Humanos|35 o más horas|1989-01-01|
69876|LOGISTICA-ALIMENTICIA-INSUMO-COMERCIAL|Encagado De Departamento|Venta Y Compra|35 o más horas|1999-01-01|2018-10-01
70784|BANCO DE LA PROVINCIA DE BUENOS AIRES|Ejecutivo Comercial|Cuentas Corrientes - Atencion Al Publico|Hasta 10 horas|2011-02-02|
72728|Estudio Contable y Juridico Grandio|Contador Publico|Contabilidad, Impuestos Y Auditoria|Más de 20 y hasta 35 horas|2011-01-01|
84113|Certant S.A|Desarrollador De Software|Backend|35 o más horas|2022-04-25|
103846|CASA DE MONEDA S.E.|Auditor Administrativo Contable|Auditoria Interna|35 o más horas|2006-01-16|2010-12-31
103846|CONTADORA PUBLICA INDEPENDIENTE|Contadora|Impositiva Y Contable|Más de 20 y hasta 35 horas|2011-01-03|2022-02-28
104062|Corralón Alberto López de Las Flores S.A.|Administrativo|Comercio|35 o más horas|2021-04-01|2024-03-01
104195|Cooperativa Agrícola Ganadera de Rauch Ltda|Analista En Sistemas|Sistemas|35 o más horas|2021-01-08|
104390|Imprenta Multigrafica|Maquinista - Diseñador|Diseño - Produccion|35 o más horas|1990-03-01|2013-03-14
104443|Cencosud SA|Adminsitrativo|Uso Interno (Insumos) - Recepción (Proveedores)|35 o más horas|2006-12-15|2023-01-11
